LIBRARY	library
EXER_FAILINPUT	Ολες οι έγκυρες περιοχές κειμένου έχουν τονιστεί.
EXER_FAILSELECT	Ολα τα έγκυρα πλαίσια επιλογής έχουν τονιστεί.
EXER_FAILDRAG	Εκτελέσατε τη λειτουργία μεταφοράς σε άκυρη περιοχή @1_keys_.
EXER_FAILDRAG1	Εκτελέστε τη λειτουργία μεταφοράς @1_keys_ εντός της τονισμένης περιοχής.
EXER_FAILDROP	Εκτελέσατε άκυρη λειτουργία απόθεσης@1_keys_.
EXER_FAILDROP1	Εκτελέστε τη λειτουργία απόθεσης @1_keys_ εντός της τονισμένης περιοχής.
EXER_FAILDBLCLICK	Κάνατε διπλό κλικ σε άκυρη περιοχή@1_keys_.
EXER_FAILDBLCLICK1	Εκτελέστε διπλό κλικ @1_keys_ εντός της τονισμένης περιοχής.
EXER_FAILCLICK	Κάνατε κλικ @1_keys_ σε μια άκυρη περιοχή.
EXER_FAILCLICK1	Ολες οι έγκυρες περιοχές έχουν τονιστεί.
EXER_FAILCLICK2	Κάνατε κλικ σε άκυρη περιοχή @1_keys_.
EXER_FAILCLICK3	Εκτελέστε κλικ @1_keys_ εντός της τονισμένης περιοχής.
EXER_FAILENTER	Εκτελέσατε κίνηση με το ποντίκι σε άκυρη περιοχή @1_keys_.
EXER_FAILENTER1	Εκτελέστε κίνηση με το ποντίκι @1_keys_ εντός της τονισμένης περιοχής.
EXER_FAILMCLICK	Δεν επιτρέπεται μεσαίο κλικ@1_keys_.
EXER_WOULDGOON	(Σημείωση: Διαφορετικά θα συνεχιστεί αυτόματα)
EXER_YOURINPUT	Καταχωρίσατε "@1_input_".
EXER_TEXTINPUT	Παρακαλώ εισάγετε "@1" στο πεδίο "@2"!
EXER_SELECT	Παρακαλώ επιλέξτε την καταχώρηση "@1"!
EXER_GOON	Συνεχίστε στο επόμενο βήμα
EXER_SHOWHELP	Ναι, εμφάνιση βοήθειας
EXER_TRYAGAIN	Προσπαθήστε ξανά
EXER_ASK4HELP	Χρειάζεστε βοήθεια;
EXER_ONLY_VALID	Οι επιτρεπτές ενέργειες είναι:
EXER_FORM_PREFIX	Εισάγετε τις ακόλουθες τιμές:
EXER_OR	ή
EXER_AND	και
SCORE	Σημεία
SCORE_REDUCED	Οι πιθανοί βαθμοί για αυτό το βήμα μειώθηκαν σε
TOUR_START	Έναρξη προσομοίωσης
TOUR_STOP	Απόρριψη προσομοίωσης
TOUR_END	Λήψη προσομοίωσης
TOUR_PLAY	Πλήκτρο συνέχεια
TOUR_JUMP	Μετάβαση σε άλλο βήμα εντός της προσομοίωσης.
TOUR_PREV	Πίσω
TOUR_NEXT	Επόμενο
USER_ACTION_CORRECT_ACTION	Ο εκπαιδευόμενος εκτέλεσε επιτυχώς αυτό το βήμα.
USER_ACTION_WRONG_ACTION	Ο εκπαιδευόμενος έκανε λάθος.
USER_ACTION_GOON	Ο εκπαιδευόμενος έκανε κλικ στο "συνέχεια", δεν υπάρχουν πόντοι για αυτό το βήμα.
USER_ACTION_GOON_AUTO	Λόγω του αριθμού των λαθών, η προσομοίωση συνεχίστηκε αυτόματα.
USER_ACTION_HELP	Ο εκπαιδευόμενος ζήτησε βοήθεια, δεν υπάρχουν βαθμοί για αυτό το βήμα.
SLIDE_USER_ACTION_TEXTBOX_OPEN	Ο εκπαιδευόμενος άνοιξε ένα πλαίσιο κειμένου.
SLIDE_USER_ACTION_TEXTBOX_CLOSE	Ο εκπαιδευόμενος έκλεισε ένα πλαίσιο κειμένου.
QUIZ_CORRECT_RESPONSE	Σωστή απάντηση
QUIZ_STUDENT_RESPONSE	Απάντηση εκπαιδευόμενου
QUIZ_LATENCY	Χρόνος
QUIZ_SCORE	Αποκτηθείσα Βαθμολογία
QUIZ_REQ_SCORE	Απαιτούμενη Βαθμολογία
QUIZ_MAX_SCORE	Μέγιστη Βαθμολογία
QUIZ_TIMEOUT_REACHED	Χρονικό όριο συμπληρώθηκε
QUIZTYPE_MCHOICE	Κουίζ: Πολλαπλή επιλογή
